ds,yhat,yhat_lower,yhat_upper
2026-03-20,20.641378439500002,-9.72777526820196,50.03966775884836
2026-03-30,22.392977522310222,-9.512529567431743,52.635007484188776
2026-04-21,26.24649550386536,-6.064009515278714,58.15434320391243
2026-04-25,26.947135136871353,-4.974072579894212,59.1721024324888
2026-06-04,33.95353146940122,2.8926276702152927,64.42026864156904
2026-06-10,35.00449091925697,2.9212703286059787,67.72010494368219
2026-06-24,37.45672963591465,6.0430979054793434,68.29357388879791
2026-07-10,40.25928816981307,8.526086458031708,71.19893164470946
2026-07-14,40.959927803204344,9.783558221164746,69.8434222798145
2026-07-24,42.71152688668253,11.966943464086116,73.44326380258597
2026-08-04,44.63828587850854,15.654113050104199,77.20654451337705
2026-08-05,44.813445786856356,13.458695807307617,75.53745706694396
2026-08-06,44.98860569520417,14.748146545739877,78.81496439184593
2026-08-07,45.163765603551994,15.496982221536806,77.24320328435309
2026-08-08,45.33892551189981,14.997474832207546,78.10053002651696
2026-08-09,45.51408542024763,15.804878820803834,78.46241264203088
2026-08-10,45.68924532859545,12.569327535045499,77.90298843639981
2026-08-11,45.86440523694327,13.708347476515545,77.38391507124238
2026-08-12,46.039565145291085,17.408312491873538,77.92326013896701
2026-08-13,46.21472505363891,16.10145048909842,77.77109569992275
2026-08-14,46.38988496198672,15.361937215052237,78.37906336008709
2026-08-15,46.56504487033454,14.97746141509115,76.42370511414914
2026-08-16,46.740204778682354,13.563959126201762,76.9459832469766
2026-08-17,46.91536468703018,17.072609072999406,80.6329760287408
2026-08-18,47.090524595378,16.960365037257816,79.42731148075642
2026-08-19,47.265684503725815,18.026287119736715,79.54179758240961
2026-08-20,47.44084441207364,15.265916766034165,77.16005808719292
2026-08-21,47.61600432042145,18.185032458443057,78.39533162322314
2026-08-22,47.791164228769276,16.03193477603195,78.44958662322641
2026-08-23,47.96632413711709,18.590029752721353,78.22181549408013
2026-08-24,48.141484045464914,17.265857800890455,78.19911741825531
2026-08-25,48.31664395381273,16.210888832338252,82.78328720371091
2026-08-26,48.491803862160545,16.565198681755394,79.18455949890226
2026-08-27,48.66696377050836,16.3686278623187,81.0322893293283
2026-08-28,48.84212367885618,16.56438684595494,79.93682680838263
2026-08-29,49.017283587204005,17.673665159490124,80.70410024704498
2026-08-30,49.19244349555182,17.97533109860731,79.77735427633802
2026-08-31,49.36760340389964,18.519164698541125,82.42433173032545
2026-09-01,49.54276331224746,16.74565296844061,81.47243817273535
2026-09-02,49.71792322059528,18.704108135544914,80.04052484840722
2026-09-03,49.8930831289431,17.671370769711537,83.02502520367914
2026-09-04,50.06824303729092,17.27750548062403,82.5124266011701
2026-09-05,50.243402945638735,18.915274297123954,83.21379024844327
2026-09-06,50.41856285398655,18.12615179481101,78.33020991085029
2026-09-07,50.59372276233437,19.947315486921983,81.10703974621083
2026-09-08,50.76888267068219,18.898394618951713,83.10377032684988
2026-09-09,50.94404257903001,18.53647629868459,83.50875481349352
2026-09-10,51.11920248737783,22.348644733199432,82.41032843687479
2026-09-11,51.29436239572565,20.452890150110406,84.56741203783483
2026-09-12,51.469522304073465,18.846296162587862,85.46089738356105
2026-09-13,51.64468221242129,18.52140178245378,82.07167064871918
2026-09-14,51.8198421207691,21.597185444258045,84.70461549172727
2026-09-15,51.995002029116925,20.433741088814347,82.05934434714894
2026-09-16,52.17016193746474,18.363081227337467,84.61690553522617
2026-09-17,52.345321845812556,20.218590784160984,85.1981378645174
2026-09-18,52.52048175416037,20.84433299234292,84.10839136622998
2026-09-19,52.6956416625082,21.27716305892976,84.24256566769563
2026-09-20,52.87080157085602,21.319727691757702,85.85495354542269
2026-09-21,53.04596147920384,23.0279891289219,83.28377594704588
2026-09-22,53.221121387551655,22.374636971209366,83.91431364198124
2026-09-23,53.39628129589948,22.871019891896324,82.54835636216222
2026-09-24,53.57144120424729,23.124017789672568,84.69690583190051
2026-09-25,53.74660111259511,24.099230699580744,83.63981876472855
2026-09-26,53.92176102094294,22.098903480660073,85.0627875093278
2026-09-27,54.096920929290754,21.27078725654426,87.09082851771674
2026-09-28,54.27208083763857,21.92715706437561,88.05248696340438
2026-09-29,54.447240745986385,23.246394169202645,84.79139567327928
2026-09-30,54.622400654334214,25.70187670639561,87.07473315757416
2026-10-01,54.79756056268203,23.114164897479107,84.72828147341521
2026-10-02,54.972720471029845,23.803269998825865,84.91110288965457
2026-10-03,55.14788037937766,23.550407250738942,86.94474556718026
2026-10-04,55.323040287725476,22.702196260254418,86.82558821576791
2026-10-05,55.49820019607329,24.320482489504798,87.97790557455795
2026-10-06,55.67336010442112,22.734356385384576,89.49472970011743
2026-10-07,55.848520012768944,24.99500766436533,88.67786221697709
2026-10-08,56.023679921116766,23.777728825865776,88.7080116379841
2026-10-09,56.19883982946458,24.909028580206446,88.15521436269186
2026-10-10,56.3739997378124,25.261826639994045,87.73805266728316
2026-10-11,56.54915964616021,24.14553216645453,88.47420737718036
